-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 4:45:44 PM     9/16/2020 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 558
  Max.    Elevation: 1344
  Mean.   Elevation: 778.58796608352
  Std.    Deviation: 89.3835230543493

                    Elevation          % Area Below Elevation         % Area Watershed

                    813                     51.6                      .78
                    814                     52.51                     .91
                    815                     53.46                     .95
                    816                     54.44                     .97
                    817                     55.24                     .81
                    818                     56.21                     .96
                    819                     57                        .8
                    820                     57.82                     .82
                    821                     58.77                     .95
                    822                     59.7                      .93
                    823                     60.6                      .9
                    824                     61.58                     .98
                    825                     62.45                     .87
                    826                     63.43                     .98
                    827                     64.24                     .81
                    828                     65.09                     .85
                    829                     65.84                     .75
                    830                     66.8                      .95
                    831                     67.54                     .75
                    832                     68.41                     .86
                    833                     69.34                     .93
                    834                     70.16                     .82
                    835                     70.92                     .76
                    836                     71.79                     .86
                    837                     72.62                     .83
                    838                     73.4                      .79
                    839                     74.2                      .8
                    840                     74.95                     .75
                    841                     75.69                     .74
                    842                     76.36                     .67
                    843                     77                        .64
                    844                     77.66                     .66
                    845                     78.4                      .74
                    846                     78.99                     .59
                    847                     79.58                     .59
                    848                     80.18                     .6
                    849                     80.73                     .56
                    850                     81.36                     .63
                    851                     81.98                     .62
                    852                     82.55                     .57
                    853                     83.18                     .63
                    854                     83.81                     .63
                    855                     84.35                     .54
                    856                     84.9                      .56
                    857                     85.37                     .47
                    858                     85.93                     .56
                    859                     86.44                     .51
                    860                     87.04                     .6
                    861                     87.56                     .52
                    862                     88.08                     .52
                    863                     88.59                     .5
                    864                     88.97                     .38
                    865                     89.44                     .47
                    866                     89.9                      .46
                    867                     90.31                     .41
                    868                     90.67                     .37
                    869                     91.01                     .34
                    870                     91.32                     .31
                    871                     91.67                     .35
                    872                     91.98                     .31
                    873                     92.32                     .34
                    874                     92.63                     .32
                    875                     92.95                     .32
                    876                     93.28                     .33
                    877                     93.59                     .31
                    878                     93.85                     .26
                    879                     94.05                     .2
                    880                     94.32                     .27
                    881                     94.62                     .29
                    882                     94.84                     .22
                    883                     94.99                     .15
                    884                     95.24                     .25
                    885                     95.5                      .26
                    886                     95.7                      .2
                    887                     95.93                     .23
                    888                     96.14                     .21
                    889                     96.36                     .22
                    890                     96.57                     .21
                    891                     96.79                     .22
                    892                     96.96                     .17
                    893                     97.11                     .15
                    894                     97.24                     .13
                    895                     97.38                     .14
                    896                     97.55                     .17
                    897                     97.7                      .16
                    898                     97.91                     .2
                    899                     98.04                     .13
                    900                     98.15                     .11
                    901                     98.28                     .12
                    902                     98.42                     .15
                    903                     98.53                     .1
                    904                     98.61                     .08
                    905                     98.71                     .1
                    906                     98.82                     .11
                    907                     98.92                     .09
                    908                     99.03                     .11
                    909                     99.15                     .12
                    910                     99.22                     .08
                    911                     99.27                     .05
                    912                     99.34                     .07
                    913                     99.38                     .05
                    914                     99.43                     .04
                    915                     99.49                     .06
                    916                     99.53                     .05
                    917                     99.59                     .06
                    918                     99.62                     .02
                    919                     99.65                     .04
                    920                     99.7                      .04
                    921                     99.74                     .04
                    922                     99.78                     .04
                    923                     99.83                     .06
                    924                     99.86                     .03
                    925                     99.91                     .04
                    926                     99.93                     .02
                    927                     99.97                     .04
                    928                     99.98                     .01
                    929                     100                       .01
                    933                     100                       0
-----------------------------------------------------------------------------------------------------------------------------

Subbasin # 15

Statistics: All elevations reported in meters
-----------

  Min.    Elevation: 641
  Max.    Elevation: 855
  Mean.   Elevation: 707.471575527883
  Std.    Deviation: 32.0760367618683

                    Elevation          % Area Below Elevation         % Area Subbasin

                    641                     .02                      .02
                    642                     .04                      .02
                    643                     .09                      .04
                    644                     .14                      .05
                    645                     .21                      .06
                    646                     .37                      .16
                    647                     .5                       .13
                    648                     .61                      .11
                    649                     .79                      .18
                    650                     1                         .21
                    651                     1.34                      .35
                    652                     1.66                      .31
                    653                     2.1                       .44
                    654                     2.61                      .51
                    655                     3.06                      .45
                    656                     3.58                      .52
                    657                     4.17                      .58
                    658                     4.86                      .69
                    659                     5.43                      .56
                    660                     6.02                      .6
                    661                     6.72                      .7
                    662                     7.23                      .51
                    663                     7.79                      .55
                    664                     8.5                       .71
                    665                     9.11                      .61
                    666                     9.6                       .5
                    667                     10.18                     .57
                    668                     10.91                     .74
                    669                     11.64                     .73
                    670                     12.28                     .64
                    671                     12.95                     .67
                    672                     13.74                     .79
                    673                     14.6                      .86
                    674                     15.55                     .95
                    675                     16.45                     .9
                    676                     17.57                     1.13
                    677                     18.47                     .9
                    678                     19.27                     .8
                    679                     20.3                      1.03
                    680                     21.39                     1.08
                    681                     22.52                     1.14
                    682                     23.45                     .93
                    683                     24.66                     1.2
                    684                     25.76                     1.1
                    685                     26.77                     1.01
                    686                     27.85                     1.08
                    687                     29.13                     1.28
                    688                     30.3                      1.17
                    689                     31.38                     1.08
                    690                     32.42                     1.04
                    691                     33.57                     1.15
                    692                     34.64                     1.07
                    693                     35.63                     .99
                    694                     36.56                     .93
                    695                     37.76                     1.2
                    696                     38.98                     1.22
                    697                     40.06                     1.08
                    698                     41.2                      1.14
                    699                     42.5                      1.3
                    700                     43.64                     1.14
                    701                     44.7                      1.06
                    702                     45.9                      1.2
                    703                     47.02                     1.12
                    704                     48.08                     1.06
                    705                     49.21                     1.14
                    706                     50.27                     1.05
                    707                     51.63                     1.36
                    708                     52.71                     1.08
                    709                     53.96                     1.25
                    710                     55.15                     1.19
                    711                     56.52                     1.38
                    712                     57.67                     1.15
                    713                     59.04                     1.36
                    714                     60.62                     1.58
                    715                     61.65                     1.03
                    716                     62.78                     1.14
                    717                     64.06                     1.28
                    718                     65.11                     1.05
                    719                     66.32                     1.21
                    720                     67.74                     1.42
                    721                     68.99                     1.25
                    722                     70.31                     1.32
                    723                     71.2                      .89
                    724                     72.42                     1.22
                    725                     73.3                      .88
                    726                     74.37                     1.07
                    727                     75.46                     1.09
                    728                     76.4                      .94
                    729                     77.54                     1.14
                    730                     78.69                     1.15
                    731                     79.79                     1.1
                    732                     80.7                      .91
                    733                     81.53                     .82
                    734                     82.33                     .8
                    735                     83.12                     .79
                    736                     83.81                     .69
                    737                     84.53                     .71
                    738                     85.19                     .66
                    739                     85.73                     .54
                    740                     86.27                     .54
                    741                     86.84                     .57
                    742                     87.34                     .5
                    743                     87.88                     .54
                    744                     88.49                     .61
                    745                     89.13                     .64
                    746                     89.59                     .47
                    747                     90.01                     .41
                    748                     90.4                      .39
                    749                     90.8                      .4
                    750                     91.06                     .26
                    751                     91.49                     .43
                    752                     91.86                     .37
                    753                     92.28                     .42
                    754                     92.69                     .41
                    755                     93.04                     .35
                    756                     93.31                     .27
                    757                     93.56                     .25
                    758                     93.9                      .35
                    759                     94.13                     .23
                    760                     94.35                     .22
                    761                     94.56                     .22
                    762                     94.74                     .17
                    763                     94.85                     .11
                    764                     95.09                     .25
                    765                     95.29                     .19
                    766                     95.43                     .14
                    767                     95.66                     .23
                    768                     95.72                     .06
                    769                     95.91                     .18
                    770                     96.05                     .14
                    771                     96.19                     .14
                    772                     96.34                     .15
                    773                     96.57                     .23
                    774                     96.75                     .18
                    775                     96.97                     .22
                    776                     97.04                     .08
                    777                     97.22                     .17
                    778                     97.38                     .16
                    779                     97.48                     .1
                    780                     97.56                     .09
                    781                     97.64                     .08
                    782                     97.69                     .05
                    783                     97.79                     .1
                    784                     97.95                     .16
                    785                     98.01                     .05
                    786                     98.14                     .13
                    787                     98.21                     .08
                    788                     98.25                     .03
                    789                     98.31                     .06
                    790                     98.36                     .05
                    791                     98.51                     .14
                    792                     98.57                     .06
                    793                     98.62                     .05
                    794                     98.74                     .12
                    795                     98.84                     .1
                    796                     98.91                     .06
                    797                     98.95                     .04
                    798                     99.03                     .08
                    799                     99.07                     .04
                    800                     99.13                     .06
                    801                     99.19                     .05
                    802                     99.22                     .03
                    803                     99.29                     .06
                    804                     99.33                     .04
                    805                     99.36                     .03
                    806                     99.39                     .03
                    807                     99.43                     .03
                    808                     99.45                     .02
                    809                     99.47                     .02
                    810                     99.48                     .01
                    811                     99.5                      .02
                    812                     99.57                     .06
                    813                     99.59                     .02
                    814                     99.6                      .01
                    815                     99.62                     .02
                    817                     99.64                     .02
                    818                     99.68                     .03
                    819                     99.69                     .01
                    820                     99.71                     .02
                    822                     99.72                     .01
                    823                     99.73                     .01
                    824                     99.74                     .01
                    825                     99.76                     .02
                    826                     99.77                     .01
                    827                     99.79                     .02
                    828                     99.81                     .01
                    829                     99.82                     .01
                    830                     99.83                     .01
                    833                     99.86                     .03
                    835                     99.87                     .01
                    837                     99.88                     .01
                    838                     99.91                     .03
                    840                     99.92                     .01
                    842                     99.94                     .01
                    843                     99.95                     .01
                    846                     99.96                     .01
                    847                     99.97                     .01
                    849                     99.98                     .01
                    850                     99.99                     .01
                    855                     100                       .01
-----------------------------------------------------------------------------------------------------------------------------

Subbasin # 16

Statistics: All elevations reported in meters
-----------

  Min.    Elevation: 623
  Max.    Elevation: 849
  Mean.   Elevation: 716.171459161823
  Std.    Deviation: 40.9501320463384

                    Elevation          % Area Below Elevation         % Area Subbasin

                    623                     .01                      .01
                    624                     .02                      .01
                    629                     .02                      .01
                    630                     .03                      .01
                    631                     .04                      .01
                    632                     .06                      .02
                    633                     .08                      .02
                    635                     .1                       .02
                    636                     .11                      .01
                    637                     .14                      .03
                    640                     .15                      .01
                    641                     .19                      .05
                    642                     .2                       .01
                    643                     .25                      .05
                    644                     .3                       .05
                    645                     .4                       .1
                    646                     .5                       .1
                    647                     .64                      .15
                    648                     .83                      .19
                    649                     1.06                      .22
                    650                     1.23                      .18
                    651                     1.56                      .33
                    652                     1.95                      .39
                    653                     2.46                      .51
                    654                     2.97                      .5
                    655                     3.43                      .46
                    656                     3.94                      .51
                    657                     4.53                      .59
                    658                     5.12                      .6
                    659                     5.71                      .58
                    660                     6.42                      .71
                    661                     7.07                      .65
                    662                     7.68                      .61
                    663                     8.41                      .73
                    664                     9.14                      .73
                    665                     9.82                      .68
                    666                     10.46                     .64
                    667                     11.15                     .69
                    668                     11.81                     .66
                    669                     12.6                      .79
                    670                     13.38                     .79
                    671                     14.22                     .84
                    672                     15.11                     .89
                    673                     16.02                     .91
                    674                     16.9                      .88
                    675                     17.67                     .76
                    676                     18.53                     .86
                    677                     19.43                     .9
                    678                     20.35                     .92
                    679                     21.28                     .93
                    680                     22.32                     1.04
                    681                     23.23                     .92
                    682                     24.06                     .83
                    683                     25.1                      1.04
                    684                     26.02                     .92
                    685                     27.06                     1.04
                    686                     27.99                     .93
                    687                     29.11                     1.12
                    688                     30.19                     1.09
                    689                     31.16                     .96
                    690                     32.03                     .87
                    691                     32.91                     .88
                    692                     33.92                     1.01
                    693                     34.94                     1.02
                    694                     35.88                     .94
                    695                     36.85                     .96
                    696                     37.74                     .89
                    697                     38.57                     .83
                    698                     39.43                     .86
                    699                     40.36                     .93
                    700                     41.12                     .76
                    701                     42.1                      .98
                    702                     43                        .9
                    703                     43.9                      .9
                    704                     44.66                     .76
                    705                     45.59                     .93
                    706                     46.49                     .9
                    707                     47.29                     .8
                    708                     48.1                      .81
                    709                     48.89                     .79
                    710                     49.81                     .92
                    711                     50.66                     .85
                    712                     51.49                     .83
                    713                     52.45                     .96
                    714                     53.19                     .74
                    715                     53.95                     .76
                    716                     54.63                     .68
                    717                     55.41                     .77
                    718                     56.07                     .67
                    719                     56.78                     .7
                    720                     57.61                     .83
                    721                     58.36                     .75
                    722                     59.13                     .77
                    723                     59.97                     .84
                    724                     60.73                     .76
                    725                     61.31                     .58
                    726                     61.99                     .68
                    727                     62.66                     .67
                    728                     63.44                     .78
                    729                     64.13                     .7
                    730                     64.84                     .71
                    731                     65.6                      .76
                    732                     66.34                     .73
                    733                     66.82                     .48
                    734                     67.51                     .7
                    735                     68.23                     .72
                    736                     68.88                     .65
                    737                     69.59                     .7
                    738                     70.22                     .63
                    739                     70.86                     .63
                    740                     71.41                     .56
                    741                     72.2                      .79
                    742                     72.71                     .51
                    743                     73.38                     .67
                    744                     74.11                     .73
                    745                     74.79                     .69
                    746                     75.42                     .63
                    747                     76                        .58
                    748                     76.67                     .67
                    749                     77.24                     .57
                    750                     77.81                     .57
                    751                     78.38                     .57
                    752                     79.05                     .67
                    753                     79.64                     .6
                    754                     80.39                     .75
                    755                     80.96                     .57
                    756                     81.55                     .59
                    757                     82.28                     .73
                    758                     82.82                     .54
                    759                     83.37                     .55
                    760                     83.99                     .61
                    761                     84.52                     .54
                    762                     85.06                     .54
                    763                     85.53                     .47
                    764                     86                        .47
                    765                     86.49                     .49
                    766                     87.02                     .53
                    767                     87.52                     .5
                    768                     87.99                     .47
                    769                     88.47                     .48
                    770                     88.9                      .44
                    771                     89.35                     .44
                    772                     89.66                     .31
                    773                     90                        .34
                    774                     90.28                     .28
                    775                     90.59                     .31
                    776                     91.02                     .43
                    777                     91.4                      .38
                    778                     91.62                     .21
                    779                     91.87                     .25
                    780                     92.13                     .26
                    781                     92.41                     .28
                    782                     92.7                      .3
                    783                     92.9                      .2
                    784                     93.16                     .26
                    785                     93.42                     .25
                    786                     93.82                     .41
                    787                     94.11                     .29
                    788                     94.33                     .22
                    789                     94.61                     .28
                    790                     94.85                     .24
                    791                     95.14                     .29
                    792                     95.38                     .24
                    793                     95.63                     .24
                    794                     95.85                     .22
                    795                     96.15                     .31
                    796                     96.4                      .24
                    797                     96.56                     .16
                    798                     96.71                     .15
                    799                     96.96                     .24
                    800                     97.17                     .21
                    801                     97.35                     .18
                    802                     97.45                     .1
                    803                     97.66                     .21
                    804                     97.77                     .11
                    805                     97.93                     .15
                    806                     98.05                     .12
                    807                     98.16                     .11
                    808                     98.35                     .19
                    809                     98.53                     .18
                    810                     98.68                     .15
                    811                     98.75                     .07
                    812                     98.85                     .1
                    813                     98.93                     .08
                    814                     99.01                     .08
                    815                     99.1                      .08
                    816                     99.19                     .09
                    817                     99.27                     .08
                    818                     99.33                     .07
                    819                     99.39                     .05
                    820                     99.44                     .05
                    821                     99.48                     .04
                    822                     99.52                     .04
                    823                     99.56                     .05
                    824                     99.61                     .05
                    825                     99.65                     .04
                    826                     99.67                     .02
                    827                     99.7                      .03
                    828                     99.71                     .01
                    829                     99.75                     .04
                    830                     99.79                     .04
                    831                     99.82                     .03
                    832                     99.82                     .01
                    833                     99.86                     .04
                    834                     99.87                     .01
                    835                     99.92                     .05
                    836                     99.93                     .01
                    838                     99.94                     .01
                    839                     99.95                     .01
                    840                     99.95                     .01
                    841                     99.96                     .01
                    842                     99.97                     .01
                    843                     99.98                     .01
                    846                     99.99                     .02
                    849                     100                       .01
-----------------------------------------------------------------------------------------------------------------------------

Subbasin # 17

Statistics: All elevations reported in meters
-----------

  Min.    Elevation: 633
  Max.    Elevation: 827
  Mean.   Elevation: 734.509545020681
  Std.    Deviation: 35.5173894400056

                    Elevation          % Area Below Elevation         % Area Subbasin

                    633                     .02                      .02
                    634                     .03                      .02
                    638                     .1                       .06
                    639                     .11                      .02
                    640                     .13                      .02
                    642                     .16                      .03
                    643                     .17                      .02
                    645                     .25                      .08
                    646                     .3                       .05
                    647                     .33                      .03
                    648                     .38                      .05
                    649                     .45                      .06
                    650                     .56                      .11
                    651                     .65                      .1
                    652                     .81                      .16
                    653                     .84                      .03
                    654                     .99                      .14
                    655                     1.15                      .16
                    656                     1.21                      .06
                    657                     1.38                      .17
                    658                     1.5                       .11
                    659                     1.72                      .22
                    660                     1.83                      .11
                    661                     1.96                      .13
                    662                     2.15                      .19
                    663                     2.37                      .22
                    664                     2.48                      .11
                    665                     2.64                      .16
                    666                     2.97                      .33
                    667                     3.09                      .11
                    668                     3.36                      .27
                    669                     3.75                      .4
                    670                     3.98                      .22
                    671                     4.28                      .3
                    672                     4.6                       .32
                    673                     4.96                      .37
                    674                     5.3                       .33
                    675                     5.52                      .22
                    676                     5.9                       .38
                    677                     6.28                      .38
                    678                     6.54                      .25
                    679                     6.97                      .43
                    680                     7.35                      .38
                    681                     7.81                      .46
                    682                     8.26                      .45
                    683                     8.57                      .32
                    684                     8.97                      .4
                    685                     9.48                      .51
                    686                     9.88                      .4
                    687                     10.31                     .43
                    688                     10.87                     .56
                    689                     11.34                     .48
                    690                     11.96                     .62
                    691                     12.57                     .6
                    692                     13.12                     .56
                    693                     13.76                     .64
                    694                     14.56                     .8
                    695                     15.14                     .59
                    696                     15.77                     .62
