-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 4:45:44 PM     9/16/2020 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 558
  Max.    Elevation: 1344
  Mean.   Elevation: 778.58796608352
  Std.    Deviation: 89.3835230543493

                    Elevation          % Area Below Elevation         % Area Watershed

                    933                     95.5                      .13
                    934                     95.64                     .14
                    935                     95.77                     .14
                    936                     95.9                      .13
                    937                     96.02                     .12
                    938                     96.15                     .13
                    939                     96.28                     .12
                    940                     96.39                     .12
                    941                     96.5                      .11
                    942                     96.61                     .1
                    943                     96.71                     .1
                    944                     96.8                      .09
                    945                     96.88                     .09
                    946                     96.97                     .09
                    947                     97.06                     .09
                    948                     97.14                     .08
                    949                     97.21                     .07
                    950                     97.28                     .07
                    951                     97.35                     .08
                    952                     97.41                     .06
                    953                     97.47                     .06
                    954                     97.53                     .06
                    955                     97.59                     .06
                    956                     97.63                     .05
                    957                     97.68                     .04
                    958                     97.72                     .04
                    959                     97.75                     .03
                    960                     97.79                     .04
                    961                     97.82                     .03
                    962                     97.86                     .03
                    963                     97.89                     .03
                    964                     97.93                     .04
                    965                     97.96                     .03
                    966                     97.99                     .03
                    967                     98.02                     .03
                    968                     98.05                     .03
                    969                     98.08                     .03
                    970                     98.11                     .03
                    971                     98.14                     .03
                    972                     98.16                     .03
                    973                     98.19                     .03
                    974                     98.22                     .03
                    975                     98.24                     .02
                    976                     98.26                     .02
                    977                     98.28                     .03
                    978                     98.31                     .02
                    979                     98.34                     .03
                    980                     98.36                     .02
                    981                     98.38                     .02
                    982                     98.4                      .02
                    983                     98.42                     .02
                    984                     98.44                     .02
                    985                     98.46                     .02
                    986                     98.47                     .01
                    987                     98.49                     .02
                    988                     98.51                     .02
                    989                     98.53                     .02
                    990                     98.55                     .02
                    991                     98.56                     .02
                    992                     98.58                     .01
                    993                     98.59                     .02
                    994                     98.61                     .02
                    995                     98.63                     .02
                    996                     98.65                     .02
                    997                     98.67                     .02
                    998                     98.68                     .01
                    999                     98.69                     .01
                    1000                     98.71                     .02
                    1001                     98.72                     .01
                    1002                     98.74                     .02
                    1003                     98.75                     .01
                    1004                     98.77                     .02
                    1005                     98.78                     .02
                    1006                     98.8                      .01
                    1007                     98.81                     .01
                    1008                     98.83                     .02
                    1009                     98.84                     .01
                    1010                     98.85                     .01
                    1011                     98.87                     .01
                    1012                     98.88                     .02
                    1013                     98.89                     .01
                    1014                     98.91                     .01
                    1015                     98.92                     .02
                    1016                     98.94                     .01
                    1017                     98.95                     .01
                    1018                     98.96                     .01
                    1019                     98.97                     .01
                    1020                     98.98                     .01
                    1021                     98.99                     .01
                    1022                     99                        .01
                    1023                     99.01                     .01
                    1024                     99.03                     .01
                    1025                     99.04                     .01
                    1026                     99.05                     .01
                    1027                     99.06                     .01
                    1028                     99.07                     .01
                    1029                     99.08                     .01
                    1030                     99.09                     .01
                    1031                     99.1                      .01
                    1032                     99.12                     .01
                    1033                     99.13                     .01
                    1034                     99.14                     .01
                    1035                     99.15                     .01
                    1036                     99.16                     .01
                    1037                     99.17                     .01
                    1038                     99.18                     .01
                    1039                     99.19                     .01
                    1040                     99.21                     .01
                    1041                     99.22                     .01
                    1042                     99.24                     .02
                    1043                     99.24                     .01
                    1044                     99.26                     .01
                    1045                     99.27                     .01
                    1046                     99.28                     .01
                    1047                     99.29                     .01
                    1048                     99.3                      .01
                    1049                     99.31                     .01
                    1050                     99.32                     .01
                    1051                     99.33                     .01
                    1052                     99.34                     .01
                    1053                     99.35                     .01
                    1054                     99.36                     .01
                    1055                     99.38                     .01
                    1056                     99.39                     .01
                    1057                     99.4                      .01
